 "y",    "x",   "data"
 79.53,  2.81,  0.00,
 79.53,  5.62,  0.00,
 79.53,  8.44,  0.00,
 79.53, 11.25,  0.00,
 79.53, 14.06,  0.00,
 79.53, 16.88,  0.00,
 79.53, 19.69,  0.00,
 79.53, 22.50,  0.00,
 79.53, 25.31,  0.00,
 79.53, 28.12,  0.00,
 79.53, 30.94,  0.00,
 79.53, 33.75,  0.00,
 79.53, 36.56,  0.00,
 79.53, 39.38,  0.00,
 79.53, 42.19,  0.00,
 79.53, 45.00,  0.00,
 79.53, 47.81,  0.00,
 79.53, 50.62,  0.00,
 79.53, 53.44,  0.00,
 79.53, 56.25,  0.00,
 79.53, 59.06,  0.00,
 79.53, 61.88,  0.00,
 79.53, 64.69,  0.00,
 79.53, 67.50,  0.00,
 79.53, 70.31,  0.00,
 79.53, 73.12,  0.00,
 79.53, 75.94,  0.00,
 79.53, 78.75,  0.00,
 79.53, 81.56,  0.00,
 79.53, 84.38,  0.00,
 79.53, 87.19,  0.00,
 79.53, 90.00,  0.00,
 79.53, 92.81,  0.00,
 79.53, 95.62,  0.00,
 79.53, 98.44,  0.00,
 79.53,101.25,  0.00,
 79.53,104.06,  0.00,
 79.53,106.88,  0.00,
 79.53,109.69,  0.00,
 79.53,112.50,  0.00,
 79.53,115.31,  1.00,
 79.53,118.12,  1.00,
 79.53,120.94,  1.00,
 79.53,123.75,  1.00,
 79.53,126.56,  1.00,
 79.53,129.38,  1.00,
 79.53,132.19,  1.00,
 79.53,135.00,  1.00,
 79.53,137.81,  1.00,
 79.53,140.62,  1.00,
 79.53,143.44,  1.00,
 79.53,146.25,  1.00,
 79.53,149.06,  1.00,
 79.53,151.88,  1.00,
 79.53,154.69,  1.00,
 79.53,157.50,  1.00,
 79.53,160.31,  1.00,
 79.53,163.12,  1.00,
 79.53,165.94,  0.00,
 79.53,168.75,  0.00,
 79.53,171.56,  0.00,
 79.53,174.38,  0.00,
 79.53,177.19,  0.00,
 79.53,180.00,  0.00,
 79.53,182.81,  0.00,
 79.53,185.62,  0.00,
 79.53,188.44,  0.00,
 79.53,191.25,  0.00,
 79.53,194.06,  0.00,
 79.53,196.88,  0.00,
 79.53,199.69,  0.00,
 79.53,202.50,  0.00,
 79.53,205.31,  0.00,
 79.53,208.12,  0.00,
 79.53,210.94,  0.00,
 79.53,213.75,  1.00,
 79.53,216.56,  1.00,
 79.53,219.38,  0.00,
 79.53,222.19,  0.00,
 79.53,225.00,  0.00,
 79.53,227.81,  0.00,
 79.53,230.62,  0.00,
 79.53,233.44,  0.00,
 79.53,236.25,  0.00,
 79.53,239.06,  0.00,
 79.53,241.88,  0.00,
